"date","open","high","low","close","adjClose","volume","unadjustedVolume","change","changePercent","vwap","label","changeOverTime"
"2015-03-02","129.25","130.28","128.3","129.09","119.44","48096700","48096700","0.16","0.124","129.22333","March 02, 15","0.00124"
"2015-03-03","128.96","129.52","128.09","129.36","119.69","37816300","37816300","-0.4","-0.31","128.99","March 03, 15","-0.0031"
"2015-03-04","129.1","129.56","128.32","128.54","118.93","31666300","31666300","0.56","0.434","128.80667","March 04, 15","0.00434"
"2015-03-05","128.58","128.75","125.76","126.41","116.96","56517100","56517100","2.17","1.688","126.97333","March 05, 15","0.01688"
"2015-03-06","128.4","129.37","126.26","126.6","117.13","72842100","72842100","1.8","1.402","127.41","March 06, 15","0.01402"
"2015-03-09","127.96","129.57","125.06","127.14","117.63","88528500","88528500","0.82","0.641","127.25667","March 09, 15","0.00641"
"2015-03-10","126.41","127.22","123.8","124.51","115.2","68856600","68856600","1.9","1.503","125.17667","March 10, 15","0.01503"
"2015-03-11","124.75","124.77","122.11","122.24","113.1","68939000","68939000","2.51","2.012","123.04","March 11, 15","0.02012"
"2015-03-12","122.31","124.9","121.63","124.45","115.14","48362700","48362700","-2.14","-1.75","123.66","March 12, 15","-0.0175"
"2015-03-13","124.4","125.4","122.58","123.59","114.35","51827300","51827300","0.81","0.651","123.85667","March 13, 15","0.00651"
"2015-03-16","123.88","124.95","122.87","124.95","115.61","35874300","35874300","-1.07","-0.864","124.25667","March 16, 15","-0.00864"
"2015-03-17","125.9","127.32","125.65","127.04","117.54","51023100","51023100","-1.14","-0.905","126.67","March 17, 15","-0.00905"
"2015-03-18","127.0","129.16","126.37","128.47","118.86","65270900","65270900","-1.47","-1.157","128.0","March 18, 15","-0.01157"
"2015-03-19","128.75","129.25","127.4","127.5","117.96","45809500","45809500","1.25","0.971","128.05","March 19, 15","0.00971"
"2015-03-20","128.25","128.4","125.16","125.9","116.48","68695100","68695100","2.35","1.832","126.48667","March 20, 15","0.01832"
"2015-03-23","127.12","127.85","126.52","127.21","117.7","37709700","37709700","-0.09","-0.071","127.19333","March 23, 15","-0.00071"
"2015-03-24","127.23","128.04","126.56","126.69","117.22","32842300","32842300","0.54","0.424","127.09667","March 24, 15","0.00424"
"2015-03-25","126.54","126.82","123.38","123.38","114.15","51655200","51655200","3.16","2.497","124.52667","March 25, 15","0.02497"
"2015-03-26","122.76","124.88","122.6","124.24","114.95","47572900","47572900","-1.48","-1.206","123.90667","March 26, 15","-0.01206"
"2015-03-27","124.57","124.7","122.91","123.25","114.03","39546200","39546200","1.32","1.06","123.62","March 27, 15","0.0106"
"2015-03-30","124.05","126.4","124.0","126.37","116.92","47099700","47099700","-2.32","-1.87","125.59","March 30, 15","-0.0187"
"2015-03-31","126.09","126.49","124.36","124.43","115.12","42090600","42090600","1.66","1.317","125.09333","March 31, 15","0.01317"
"2015-04-01","124.82","125.12","123.1","124.25","114.96","40621400","40621400","0.57","0.457","124.15667","April 01, 15","0.00457"
"2015-04-02","125.03","125.56","124.19","125.32","115.95","32220100","32220100","-0.29","-0.232","125.02333","April 02, 15","-0.00232"
"2015-04-06","124.47","127.51","124.33","127.35","117.83","37194000","37194000","-2.88","-2.314","126.39667","April 06, 15","-0.02314"
"2015-04-07","127.64","128.12","125.98","126.01","116.59","35012300","35012300","1.63","1.277","126.70333","April 07, 15","0.01277"
"2015-04-08","125.85","126.4","124.97","125.6","116.21","37329200","37329200","0.25","0.199","125.65667","April 08, 15","0.00199"
