date,close,ewma12,ewma26,band_upper,band_lower,macd,signal,div,rsi,dip,dim,adx
2001-12-14,16.05,,,,,,,,,,,
2001-12-17,16.39,,,16.70,15.74,,,,,,,
2001-12-18,16.21,,,16.56,15.88,,,,,,,
2001-12-19,16.15,,,16.50,16.00,,,,,,,
2001-12-20,16.05,,,16.30,15.98,,,,,,,
2001-12-21,16.44,,,16.61,15.82,,,,,,,
2001-12-24,16.30,,,16.65,15.87,,,,,,,
2001-12-27,16.25,,,16.52,16.14,,,,,,,
2001-12-28,16.29,,,16.33,16.23,,,,,,,
2002-01-02,16.21,,,16.33,16.17,,,,,,,
2002-01-03,16.24,16.24,,16.33,16.16,,,,,,,
2002-01-04,16.20,16.24,,16.25,16.18,,,,,,,
2002-01-07,16.65,16.31,,16.86,15.86,,,,,,,
2002-01-08,16.94,16.42,,17.34,15.85,,,,,,,
2002-01-09,16.94,16.50,,17.18,16.51,,,,,,,
2002-01-10,16.67,16.53,,17.17,16.53,,,,,,,
2002-01-11,16.68,16.56,,17.07,16.46,,,,,,,
2002-01-14,16.59,16.56,,16.75,16.55,,,,,,,
2002-01-15,16.89,16.62,,17.03,16.41,,,,,,,
2002-01-16,16.85,16.65,,17.11,16.45,,,,,,,
2002-01-17,17.23,16.75,,17.41,16.57,,,,,,,
2002-01-18,17.03,16.79,,17.42,16.65,,,,,,,
2002-01-21,16.89,16.81,,17.39,16.71,,,,,,,
2002-01-22,16.87,16.82,,17.11,16.75,,,,,,,
2002-01-23,17.04,16.85,16.72,17.12,16.75,0.13,,,,,,
2002-01-24,17.29,16.92,16.77,17.49,16.64,0.15,,,,,,
2002-01-25,17.22,16.97,16.81,17.44,16.93,0.16,,,64.63,,,
2002-01-28,17.17,17.00,16.84,17.35,17.10,0.16,,,62.99,,,
2002-01-29,17.22,17.03,16.87,17.25,17.15,0.16,,,63.97,,,
2002-01-30,17.03,17.03,16.88,17.33,16.95,0.15,,,57.40,,,
2002-01-31,17.03,17.03,16.90,17.31,16.88,0.14,,,57.40,,,
2002-02-01,16.96,17.02,16.90,17.09,16.92,0.12,,,54.80,,,
2002-02-04,16.44,16.93,16.86,17.46,16.16,0.07,,,40.62,,,
2002-02-05,16.48,16.86,16.83,17.21,16.05,0.03,,,42.01,,,
2002-02-06,16.39,16.79,16.80,16.53,16.35,-0.01,,,39.97,,,
2002-02-07,16.21,16.70,16.75,16.64,16.08,-0.05,,,36.16,,,
2002-02-08,16.58,16.68,16.74,16.77,16.02,-0.06,,,47.25,,,
2002-02-11,16.99,16.73,16.76,17.37,15.82,-0.03,,,56.08,,,
2002-02-12,17.07,16.78,16.78,17.40,16.36,-0.00,,,57.63,,,
2002-02-13,17.56,16.90,16.84,17.83,16.58,0.06,,,65.56,,,
2002-02-14,17.45,16.99,16.89,17.88,16.84,0.10,,,62.75,,,
2002-02-15,17.35,17.04,16.93,17.67,17.25,0.12,,,60.20,21.41,13.29,
2002-02-18,17.37,17.09,16.96,17.50,17.29,0.13,,,60.52,20.18,12.52,
2002-02-19,16.94,17.07,16.96,17.71,16.73,0.11,,,50.46,19.03,16.02,
2002-02-20,17.09,17.07,16.97,17.57,16.70,0.10,,,53.31,17.21,19.22,
2002-02-21,16.86,17.04,16.96,17.19,16.73,0.08,,,48.62,16.13,18.02,
2002-02-22,16.94,17.02,16.96,17.19,16.73,0.07,,,50.30,15.22,17.53,
2002-02-25,17.21,17.05,16.98,17.37,16.64,0.08,,,55.42,15.63,16.79,
2002-02-26,17.11,17.06,16.99,17.36,16.82,0.07,,,53.37,15.13,16.25,
2002-02-27,17.22,17.09,17.01,17.29,17.07,0.08,0.08,0.01,55.32,15.00,15.53,
2002-02-28,17.35,17.13,17.03,17.47,16.99,0.10,0.08,0.02,57.90,16.05,14.94,
2002-03-01,17.45,17.18,17.06,17.57,17.11,0.11,0.08,0.03,59.58,16.62,14.35,
2002-03-04,17.12,17.17,17.07,17.64,16.98,0.10,0.08,0.02,51.80,15.98,15.46,
2002-03-05,17.20,17.17,17.08,17.59,16.92,0.10,0.08,0.01,53.31,15.21,17.12,
2002-03-06,17.12,17.17,17.08,17.23,17.06,0.08,0.08,0.00,51.57,14.64,16.47,
2002-03-07,17.26,17.18,17.09,17.33,17.06,0.09,0.08,0.00,54.55,15.12,16.01,
2002-03-08,17.26,17.19,17.11,17.38,17.06,0.09,0.08,0.00,54.55,15.26,15.75,
2002-03-11,17.01,17.17,17.10,17.47,16.89,0.07,0.08,-0.02,48.34,14.50,16.30,
2002-03-12,17.03,17.14,17.09,17.38,16.83,0.05,0.08,-0.03,48.82,14.15,15.91,
2002-03-13,17.16,17.15,17.10,17.23,16.91,0.05,0.08,-0.03,52.06,14.48,15.13,
2002-03-14,17.47,17.20,17.13,17.67,16.77,0.07,0.08,-0.01,58.87,15.56,14.17,
2002-03-15,17.58,17.26,17.16,17.84,16.97,0.09,0.08,0.02,60.98,15.66,13.09,
2002-03-18,17.90,17.36,17.22,18.10,17.20,0.14,0.08,0.06,66.40,19.47,12.05,
2002-03-19,18.22,17.49,17.29,18.54,17.26,0.20,0.09,0.11,70.76,22.67,11.38,
2002-03-20,18.31,17.61,17.37,18.57,17.72,0.25,0.10,0.14,71.78,20.84,11.52,
2002-03-21,18.64,17.77,17.46,18.82,17.95,0.31,0.12,0.19,75.45,20.71,10.39,
2002-03-22,18.96,17.95,17.57,19.28,17.98,0.38,0.14,0.24,78.39,22.04,9.53,
2002-03-25,19.19,18.14,17.69,19.49,18.37,0.45,0.16,0.29,80.28,23.92,9.02,
2002-03-26,19.10,18.29,17.80,19.32,18.84,0.49,0.19,0.31,77.46,22.18,8.37,
2002-03-27,19.67,18.50,17.94,19.93,18.71,0.57,0.21,0.35,81.73,22.84,7.16,
2002-04-02,20.70,18.84,18.14,21.44,18.21,0.70,0.25,0.45,86.65,29.35,6.69,
2002-04-03,20.07,19.03,18.29,21.18,19.11,0.74,0.29,0.46,73.68,27.19,6.19,
